      Step     Time          Energy         fmax
BFGS:    0 15:05:55       -1.653507       22.2902
BFGS:    1 15:05:55       -2.720056        9.3551
BFGS:    2 15:05:55       -3.215752        8.1362
BFGS:    3 15:05:55       -3.702827        8.2806
BFGS:    4 15:05:55       -4.352275        9.6540
BFGS:    5 15:05:55       -4.930679        7.0005
BFGS:    6 15:05:55       -5.266152        2.4479
BFGS:    7 15:05:55       -5.321191        0.6117
BFGS:    8 15:05:55       -5.323209        0.1588
BFGS:    9 15:05:55       -5.323301        0.0355
