      Step     Time          Energy         fmax
BFGS:    0 15:05:55       -1.594121        9.8686
BFGS:    1 15:05:55       -2.124736        3.8273
BFGS:    2 15:05:55       -2.254900        1.1895
BFGS:    3 15:05:55       -2.301477        1.3945
BFGS:    4 15:05:55       -2.354274        1.3275
BFGS:    5 15:05:55       -2.382616        0.7453
BFGS:    6 15:05:55       -2.387642        0.2039
BFGS:    7 15:05:55       -2.388515        0.1604
BFGS:    8 15:05:55       -2.389651        0.2920
BFGS:    9 15:05:55       -2.394170        0.6206
BFGS:   10 15:05:55       -2.401759        0.7645
BFGS:   11 15:05:55       -2.409416        0.6824
BFGS:   12 15:05:55       -2.415679        0.3919
BFGS:   13 15:05:55       -2.418326        0.3976
BFGS:   14 15:05:55       -2.420838        0.2519
BFGS:   15 15:05:55       -2.428607        0.1841
BFGS:   16 15:05:55       -2.429127        0.3542
BFGS:   17 15:05:55       -2.429483        0.3732
BFGS:   18 15:05:55       -2.431509        0.4171
BFGS:   19 15:05:55       -2.433032        0.2887
BFGS:   20 15:05:55       -2.435072        0.2415
BFGS:   21 15:05:55       -2.436236        0.1312
BFGS:   22 15:05:55       -2.437172        0.1564
BFGS:   23 15:05:55       -2.437448        0.1662
BFGS:   24 15:05:55       -2.438083        0.0182
