      Step     Time          Energy         fmax
BFGS:    0 13:23:13      -28.765807       14.4177
BFGS:    1 13:23:13      -31.990370       15.1526
BFGS:    2 13:23:13      -34.929355       12.7501
BFGS:    3 13:23:13      -37.432754       14.0644
BFGS:    4 13:23:13      -39.639629       13.7228
BFGS:    5 13:23:13      -41.601241       14.2867
BFGS:    6 13:23:13      -43.024922       14.2521
BFGS:    7 13:23:13      -44.273901       14.7409
BFGS:    8 13:23:13      -45.408111       14.7193
BFGS:    9 13:23:13      -46.495138       16.1264
BFGS:   10 13:23:13      -47.408543       14.4274
BFGS:   11 13:23:13      -48.267783       11.5165
BFGS:   12 13:23:13      -49.043163       12.7729
BFGS:   13 13:23:13      -49.765768       12.3973
BFGS:   14 13:23:14      -50.561213       10.8672
BFGS:   15 13:23:14      -51.311289       13.2580
BFGS:   16 13:23:14      -52.003869       14.7589
BFGS:   17 13:23:14      -52.702546       15.9287
BFGS:   18 13:23:14      -53.337611       17.5209
BFGS:   19 13:23:14      -53.902695       19.3873
BFGS:   20 13:23:14      -54.555186       19.9854
BFGS:   21 13:23:14      -55.271348       24.3759
BFGS:   22 13:23:14      -55.987597       28.3220
BFGS:   23 13:23:14      -56.803500       29.8477
BFGS:   24 13:23:14      -57.703230       30.6142
BFGS:   25 13:23:14      -58.579110       27.9895
BFGS:   26 13:23:14      -59.459863       26.2670
BFGS:   27 13:23:14      -60.346272       24.3666
BFGS:   28 13:23:14      -61.188916       22.2458
BFGS:   29 13:23:14      -62.526985       16.3847
BFGS:   30 13:23:14      -63.714093       17.8626
BFGS:   31 13:23:14      -65.059015       18.2188
BFGS:   32 13:23:14      -66.377144       16.1068
BFGS:   33 13:23:14      -67.435497       11.8276
BFGS:   34 13:23:14      -68.163831        8.8831
BFGS:   35 13:23:14      -68.661172        5.2431
BFGS:   36 13:23:14      -68.920992        3.7578
BFGS:   37 13:23:14      -69.039923        4.9524
BFGS:   38 13:23:14      -69.118999        3.9420
BFGS:   39 13:23:14      -69.230759        3.2394
BFGS:   40 13:23:14      -69.295120        2.6838
BFGS:   41 13:23:14      -69.325833        2.0060
BFGS:   42 13:23:14      -69.350813        2.5949
BFGS:   43 13:23:14      -69.387172        2.1317
BFGS:   44 13:23:14      -69.425432        1.5420
BFGS:   45 13:23:15      -69.450464        1.3007
BFGS:   46 13:23:15      -69.474257        1.3669
BFGS:   47 13:23:15      -69.500667        1.6236
BFGS:   48 13:23:15      -69.529893        1.8604
BFGS:   49 13:23:15      -69.565039        2.0809
BFGS:   50 13:23:15      -69.617636        2.2726
BFGS:   51 13:23:15      -69.711601        3.2512
BFGS:   52 13:23:15      -69.889922        5.2267
BFGS:   53 13:23:15      -70.210672        8.0527
BFGS:   54 13:23:15      -70.709221       11.3487
BFGS:   55 13:23:15      -71.349379       14.2338
BFGS:   56 13:23:15      -71.993094       15.8354
BFGS:   57 13:23:15      -72.569792       16.3042
BFGS:   58 13:23:15      -73.092648       14.8204
BFGS:   59 13:23:15      -73.599021       10.8490
BFGS:   60 13:23:15      -74.041347        6.0932
BFGS:   61 13:23:15      -74.399124        4.5307
BFGS:   62 13:23:15      -74.626671        3.8561
BFGS:   63 13:23:15      -74.691881        2.8756
BFGS:   64 13:23:15      -74.746980        1.6714
BFGS:   65 13:23:15      -74.773497        1.1780
BFGS:   66 13:23:15      -74.793355        1.0443
BFGS:   67 13:23:15      -74.836159        1.1791
BFGS:   68 13:23:15      -74.886864        2.0383
BFGS:   69 13:23:15      -74.974235        2.2925
BFGS:   70 13:23:15      -75.133000        3.0990
BFGS:   71 13:23:15      -75.547741        5.5996
BFGS:   72 13:23:15      -76.162915        7.2094
BFGS:   73 13:23:15      -76.805130        5.0785
BFGS:   74 13:23:15      -77.343019        4.4057
BFGS:   75 13:23:15      -77.792190        5.2121
BFGS:   76 13:23:16      -78.303691        6.6471
BFGS:   77 13:23:16      -78.744866        8.0108
BFGS:   78 13:23:16      -79.025152        8.6287
BFGS:   79 13:23:16      -79.224011        6.7446
BFGS:   80 13:23:16      -79.311627        6.2404
BFGS:   81 13:23:16      -79.380491        5.9353
BFGS:   82 13:23:16      -79.438275        6.5006
BFGS:   83 13:23:16      -79.482922        6.8091
BFGS:   84 13:23:16      -79.531282        7.1727
BFGS:   85 13:23:16      -79.588556        7.3108
BFGS:   86 13:23:16      -79.653960        7.3623
BFGS:   87 13:23:16      -79.770576        7.2237
BFGS:   88 13:23:16      -80.034000        6.8467
BFGS:   89 13:23:16      -80.484986        7.2450
BFGS:   90 13:23:16      -81.161559        9.2733
BFGS:   91 13:23:16      -81.949939        7.5973
BFGS:   92 13:23:16      -82.663201        7.8490
BFGS:   93 13:23:16      -83.137834        7.9468
BFGS:   94 13:23:16      -83.542193        8.2230
BFGS:   95 13:23:16      -83.921604        8.8969
BFGS:   96 13:23:16      -84.277546        8.4717
BFGS:   97 13:23:16      -84.589317        7.2229
BFGS:   98 13:23:16      -84.841718        5.5337
BFGS:   99 13:23:16      -85.028264        3.5971
