      Step     Time          Energy         fmax
BFGS:    0 13:23:23      -41.013522       10.1353
BFGS:    1 13:23:23      -42.434163       11.3884
BFGS:    2 13:23:23      -43.633054       11.6175
BFGS:    3 13:23:23      -44.711644       10.9751
BFGS:    4 13:23:23      -45.742379        9.6439
BFGS:    5 13:23:23      -46.790721        8.2328
BFGS:    6 13:23:23      -47.757666        8.5027
BFGS:    7 13:23:23      -48.629274        8.6505
BFGS:    8 13:23:23      -49.484750        9.5111
BFGS:    9 13:23:23      -50.335753       11.8185
BFGS:   10 13:23:23      -51.159659       13.6071
BFGS:   11 13:23:23      -51.951937       14.8281
BFGS:   12 13:23:23      -52.569904       13.1660
BFGS:   13 13:23:23      -53.136645       13.5379
BFGS:   14 13:23:23      -53.771143       13.5137
BFGS:   15 13:23:23      -54.358308       13.7422
BFGS:   16 13:23:23      -54.935771       13.8663
BFGS:   17 13:23:23      -55.513167       13.5870
BFGS:   18 13:23:23      -56.042786       12.6672
BFGS:   19 13:23:23      -56.567308       11.5492
BFGS:   20 13:23:23      -57.130349       10.3337
BFGS:   21 13:23:23      -57.696903        9.0051
BFGS:   22 13:23:23      -58.554237        7.4123
BFGS:   23 13:23:23      -59.220766        7.4300
BFGS:   24 13:23:23      -60.295367        6.7133
BFGS:   25 13:23:23      -61.304149        5.9618
BFGS:   26 13:23:23      -62.204729        6.1735
BFGS:   27 13:23:23      -62.854434        5.4680
BFGS:   28 13:23:23      -63.431282        6.6373
BFGS:   29 13:23:23      -63.990971        7.9255
BFGS:   30 13:23:23      -64.540364        8.8275
BFGS:   31 13:23:23      -65.056733        9.3580
BFGS:   32 13:23:23      -65.499400        9.2212
BFGS:   33 13:23:23      -65.920596        8.0542
BFGS:   34 13:23:23      -66.342635        6.2620
BFGS:   35 13:23:23      -66.722927        4.3364
BFGS:   36 13:23:23      -66.999306        3.1629
BFGS:   37 13:23:23      -67.031360        2.7474
BFGS:   38 13:23:23      -67.148102        2.2693
BFGS:   39 13:23:23      -67.178671        1.2731
BFGS:   40 13:23:23      -67.215972        1.0747
BFGS:   41 13:23:23      -67.256042        1.2092
BFGS:   42 13:23:23      -67.280283        0.9245
BFGS:   43 13:23:23      -67.315742        1.0918
BFGS:   44 13:23:23      -67.357218        1.0568
BFGS:   45 13:23:23      -67.394883        0.9598
BFGS:   46 13:23:23      -67.428028        0.8632
BFGS:   47 13:23:23      -67.456289        1.0139
BFGS:   48 13:23:23      -67.471685        0.8186
BFGS:   49 13:23:23      -67.480161        0.5745
BFGS:   50 13:23:23      -67.484371        0.4202
BFGS:   51 13:23:23      -67.487559        0.2825
BFGS:   52 13:23:23      -67.492229        0.3139
BFGS:   53 13:23:23      -67.497059        0.5104
BFGS:   54 13:23:23      -67.502189        0.4125
BFGS:   55 13:23:23      -67.509861        0.3470
BFGS:   56 13:23:23      -67.521327        0.4106
BFGS:   57 13:23:23      -67.531083        0.4458
BFGS:   58 13:23:23      -67.539156        0.5250
BFGS:   59 13:23:23      -67.544729        0.6219
BFGS:   60 13:23:23      -67.550394        0.8131
BFGS:   61 13:23:23      -67.556923        0.6810
BFGS:   62 13:23:23      -67.564620        0.6211
BFGS:   63 13:23:23      -67.570902        0.2940
BFGS:   64 13:23:24      -67.574457        0.2721
BFGS:   65 13:23:24      -67.577573        0.3057
BFGS:   66 13:23:24      -67.579815        0.2079
BFGS:   67 13:23:24      -67.581562        0.1532
BFGS:   68 13:23:24      -67.582903        0.2065
BFGS:   69 13:23:24      -67.584025        0.1328
BFGS:   70 13:23:24      -67.584922        0.1161
BFGS:   71 13:23:24      -67.585590        0.1224
BFGS:   72 13:23:24      -67.586456        0.1322
BFGS:   73 13:23:24      -67.587238        0.1658
BFGS:   74 13:23:24      -67.587814        0.1554
BFGS:   75 13:23:24      -67.588202        0.1009
BFGS:   76 13:23:24      -67.588545        0.0826
