                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 12:00:46      -27.369499       23.4797
BFGSLineSearch:    1[  2] 12:00:47      -35.013015       16.9497
BFGSLineSearch:    2[  4] 12:00:47      -40.340524       14.6157
BFGSLineSearch:    3[  6] 12:00:47      -44.808701       13.1205
BFGSLineSearch:    4[  8] 12:00:47      -46.390263       11.1682
BFGSLineSearch:    5[ 10] 12:00:47      -47.482464       13.3589
BFGSLineSearch:    6[ 11] 12:00:47      -51.989514       15.4527
BFGSLineSearch:    7[ 14] 12:00:47      -54.423347       27.7105
BFGSLineSearch:    8[ 16] 12:00:47      -55.707247       21.7355
BFGSLineSearch:    9[ 18] 12:00:47      -57.237960       22.8397
BFGSLineSearch:   10[ 20] 12:00:47      -58.808253       16.9661
BFGSLineSearch:   11[ 22] 12:00:47      -60.191037       19.8059
BFGSLineSearch:   12[ 23] 12:00:47      -63.067429       14.1984
BFGSLineSearch:   13[ 25] 12:00:47      -64.694858       13.4661
BFGSLineSearch:   14[ 27] 12:00:47      -65.725009       14.2062
BFGSLineSearch:   15[ 29] 12:00:47      -66.884695       16.6490
BFGSLineSearch:   16[ 31] 12:00:48      -67.925952       13.5640
BFGSLineSearch:   17[ 33] 12:00:48      -68.840563       10.3594
BFGSLineSearch:   18[ 35] 12:00:48      -70.300292        9.5237
BFGSLineSearch:   19[ 37] 12:00:48      -71.053760        9.2510
BFGSLineSearch:   20[ 39] 12:00:48      -71.567027        8.7952
BFGSLineSearch:   21[ 41] 12:00:48      -72.169255        7.2868
BFGSLineSearch:   22[ 44] 12:00:48      -74.242306       12.2944
BFGSLineSearch:   23[ 46] 12:00:48      -74.930542       12.0113
BFGSLineSearch:   24[ 48] 12:00:48      -75.913014       15.5719
BFGSLineSearch:   25[ 51] 12:00:48      -78.358191       15.8411
BFGSLineSearch:   26[ 53] 12:00:48      -79.907158       18.1517
BFGSLineSearch:   27[ 55] 12:00:48      -80.687826       18.8215
BFGSLineSearch:   28[ 57] 12:00:48      -81.964633       17.0208
BFGSLineSearch:   29[ 59] 12:00:48      -83.161089       13.4632
BFGSLineSearch:   30[ 61] 12:00:48      -84.177739       17.4346
BFGSLineSearch:   31[ 63] 12:00:49      -85.008904       19.6414
BFGSLineSearch:   32[ 65] 12:00:49      -86.315280       13.9800
BFGSLineSearch:   33[ 67] 12:00:49      -87.139374        7.8088
BFGSLineSearch:   34[ 69] 12:00:49      -87.721553        7.0989
BFGSLineSearch:   35[ 71] 12:00:49      -88.233186        5.3820
BFGSLineSearch:   36[ 73] 12:00:49      -88.563572        5.2144
BFGSLineSearch:   37[ 75] 12:00:49      -88.715021        3.8281
BFGSLineSearch:   38[ 77] 12:00:49      -88.856968        1.8815
BFGSLineSearch:   39[ 79] 12:00:49      -88.897184        2.2103
BFGSLineSearch:   40[ 80] 12:00:49      -88.934712        0.9151
BFGSLineSearch:   41[ 82] 12:00:49      -88.946236        0.5444
BFGSLineSearch:   42[ 83] 12:00:49      -88.950319        0.4630
BFGSLineSearch:   43[ 84] 12:00:49      -88.952274        0.2810
BFGSLineSearch:   44[ 86] 12:00:49      -88.952988        0.2607
BFGSLineSearch:   45[ 88] 12:00:49      -88.953498        0.0897
