nan {'sigma': 20, 'reg': 1e-07}
1.20813068607e-05 {'sigma': 20, 'reg': 1e-07}
0.115438867602 {'sigma': 20, 'reg': 1e-07}
0.231848657599 {'sigma': 20, 'reg': 1e-07}
0.13493760004 {'sigma': 20, 'reg': 1e-07}
0.00139605039124 {'sigma': 20, 'reg': 1e-07}
         9406140 function calls (9306530 primitive calls) in 16.929 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    434/1    0.012    0.000   16.930   16.930 {built-in method builtins.exec}
        1    0.008    0.008   16.930   16.930 plotSeries.py:1(<module>)
    61221    2.789    0.000    6.118    0.000 krr_ase.py:39(predict_energy)
        6    0.080    0.013    6.062    1.010 plotSeries.py:115(<listcomp>)
       42    0.001    0.000    3.086    0.073 figure.py:940(add_subplot)
       42    0.001    0.000    3.079    0.073 _subplots.py:23(__init__)
       42    0.003    0.000    3.067    0.073 _base.py:432(__init__)
1710/1374    0.035    0.000    3.056    0.002 axis.py:67(__init__)
    61200    0.633    0.000    2.941    0.000 gaussComparator.py:26(get_similarity_vector)
       12    0.000    0.000    2.836    0.236 pyplot.py:694(savefig)
       12    0.000    0.000    2.834    0.236 figure.py:1471(savefig)
       12    0.000    0.000    2.833    0.236 backend_bases.py:2095(print_figure)
       12    0.000    0.000    2.731    0.228 backend_pdf.py:2512(print_pdf)
      504    0.009    0.000    2.563    0.005 axis.py:729(cla)
  2578/12    0.009    0.000    2.457    0.205 artist.py:61(draw_wrapper)
       12    0.000    0.000    2.456    0.205 figure.py:1091(draw)
  672/504    0.004    0.000    2.449    0.005 axis.py:767(reset_ticks)
    54/12    0.001    0.000    2.447    0.204 image.py:120(_draw_list_compositing_images)
       42    0.001    0.000    2.446    0.058 _base.py:2346(draw)
     5314    0.141    0.000    2.176    0.000 lines.py:297(__init__)
    61206    0.516    0.000    2.050    0.000 distance.py:1838(cdist)
       42    0.004    0.000    1.891    0.045 _base.py:968(cla)
    11206    0.426    0.000    1.755    0.000 doubleLJ.py:76(doubleLJ_energy_ase)
       24    0.000    0.000    1.753    0.073 pyplot.py:955(subplot)
       72    0.002    0.000    1.620    0.022 axis.py:1128(draw)
        1    0.011    0.011    1.567    1.567 plotSeries.py:83(<listcomp>)
  882/714    0.003    0.000    1.565    0.002 axis.py:2055(_get_tick)
    23778    0.134    0.000    1.550    0.000 markers.py:199(_recache)
  828/660    0.003    0.000    1.496    0.002 axis.py:1724(_get_tick)
      168    0.000    0.000    1.304    0.008 spines.py:166(cla)
    33618    0.125    0.000    1.296    0.000 distance.py:408(euclidean)
   609106    1.093    0.000    1.095    0.000 {built-in method numpy.core.multiarray.array}
       12    0.000    0.000    1.081    0.090 pyplot.py:2250(colorbar)
       12    0.000    0.000    1.081    0.090 figure.py:1583(colorbar)
       42    0.000    0.000    1.016    0.024 _base.py:620(_init_axis)
        3    0.000    0.000    0.981    0.327 helpFunctions.py:42(structure_list)
        3    0.014    0.005    0.981    0.327 helpFunctions.py:43(<listcomp>)
    10207    0.151    0.000    0.968    0.000 helpFunctions.py:22(structure)
    11909    0.050    0.000    0.942    0.000 markers.py:248(set_marker)
       12    0.000    0.000    0.874    0.073 colorbar.py:1160(make_axes_gridspec)
       72    0.004    0.000    0.831    0.012 axis.py:961(_update_ticks)
     6555    0.012    0.000    0.822    0.000 markers.py:163(__init__)
    33618    0.105    0.000    0.820    0.000 misc.py:11(norm)
      108    0.002    0.000    0.791    0.007 axis.py:1317(get_major_ticks)
       72    0.000    0.000    0.778    0.011 axis.py:969(<listcomp>)
      510    0.002    0.000    0.778    0.002 axis.py:908(iter_ticks)
    11869    0.021    0.000    0.738    0.000 markers.py:223(set_fillstyle)
    10207    0.113    0.000    0.711    0.000 atoms.py:129(__init__)
   548/12    0.003    0.000    0.662    0.055 <frozen importlib._bootstrap>:958(_find_and_load)
   548/12    0.002    0.000    0.662    0.055 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
   465/14    0.003    0.000    0.659    0.047 <frozen importlib._bootstrap>:641(_load_unlocked)
   390/14    0.001    0.000    0.656    0.047 <frozen importlib._bootstrap_external>:672(exec_module)
   647/15    0.000    0.000    0.656    0.044 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
    27077    0.097    0.000    0.649    0.000 path.py:103(__init__)
    61054    0.104    0.000    0.649    0.000 transforms.py:87(__init__)
      168    0.000    0.000    0.619    0.004 spines.py:154(register_axis)
7176/5496    0.016    0.000    0.608    0.000 spines.py:404(get_spine_transform)
7512/5496    0.003    0.000    0.593    0.000 spines.py:148(_ensure_position_is_set)
      336    0.002    0.000    0.591    0.002 spines.py:359(set_position)
    48123    0.163    0.000    0.559    0.000 transforms.py:1662(__init__)
      414    0.002    0.000    0.555    0.001 axis.py:249(draw)
    61057    0.423    0.000    0.545    0.000 weakref.py:102(__init__)
  882/798    0.007    0.000    0.514    0.001 axis.py:546(_get_tick1line)
   278637    0.106    0.000    0.513    0.000 numeric.py:463(asarray)
  882/798    0.007    0.000    0.509    0.001 axis.py:561(_get_tick2line)
      809    0.025    0.000    0.500    0.001 text.py:739(draw)
  828/744    0.006    0.000    0.497    0.001 axis.py:414(_get_tick1line)
      430    0.001    0.000    0.487    0.001 pyplot.py:932(gca)
       12    0.000    0.000    0.486    0.041 pyplot.py:1580(xlim)
      442    0.001    0.000    0.485    0.001 figure.py:1327(gca)
  828/744    0.006    0.000    0.483    0.001 axis.py:425(_get_tick2line)
     5354    0.008    0.000    0.473    0.000 lines.py:1156(set_marker)
   410/32    0.001    0.000    0.459    0.014 {built-in method builtins.__import__}
    27077    0.183    0.000    0.453    0.000 path.py:212(_update_values)
       12    0.000    0.000    0.445    0.037 pyplot.py:428(figure)
       12    0.000    0.000    0.444    0.037 backend_tkagg.py:75(new_figure_manager)
      161    0.001    0.000    0.442    0.003 __init__.py:1819(inner)
       12    0.001    0.000    0.437    0.036 backend_tkagg.py:84(new_figure_manager_given_figure)
    61993    0.053    0.000    0.429    0.000 {method 'all' of 'numpy.ndarray' objects}
     5314    0.008    0.000    0.425    0.000 lines.py:548(set_fillstyle)
      598    0.019    0.000    0.390    0.001 lines.py:769(draw)
   122412    0.093    0.000    0.389    0.000 distance.py:137(_convert_to_double)
    70130    0.386    0.000    0.386    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   262746    0.382    0.000    0.382    0.000 {method 'copy' of 'numpy.ndarray' objects}
       84    0.001    0.000    0.380    0.005 axis.py:641(__init__)
    33618    0.027    0.000    0.378    0.000 blas.py:272(get_blas_funcs)
    61993    0.031    0.000    0.376    0.000 _methods.py:40(_all)
     1146    0.006    0.000    0.370    0.000 backend_pdf.py:1631(draw_path)
     6932    0.017    0.000    0.358    0.000 backend_pdf.py:588(output)
       22    0.001    0.000    0.355    0.016 __init__.py:1(<module>)
      882    0.009    0.000    0.353    0.000 axis.py:575(_get_gridline)
    33618    0.212    0.000    0.351    0.000 blas.py:226(_get_funcs)
    67236    0.101    0.000    0.350    0.000 distance.py:227(_validate_vector)
    33618    0.104    0.000    0.338    0.000 function_base.py:1152(asarray_chkfinite)
      828    0.008    0.000    0.332    0.000 axis.py:440(_get_gridline)
     1251    0.009    0.000    0.330    0.000 artist.py:667(set_clip_path)
    14915    0.021    0.000    0.323    0.000 transforms.py:128(invalidate)
    16570    0.033    0.000    0.319    0.000 transforms.py:1808(__init__)
7620/3300    0.007    0.000    0.310    0.000 _base.py:688(get_xaxis_transform)
8106/3570    0.007    0.000    0.307    0.000 _base.py:768(get_yaxis_transform)
      611    0.007    0.000    0.303    0.000 backend_pdf.py:1937(draw_text)
28398/14915    0.093    0.000    0.302    0.000 transforms.py:139(_invalidate_internal)
15377/14526    0.019    0.000    0.296    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
   122412    0.044    0.000    0.296    0.000 numeric.py:586(ascontiguousarray)
       12    0.000    0.000    0.291    0.024 __init__.py:1997(__init__)
       12    0.287    0.024    0.287    0.024 {built-in method _tkinter.create}
      165    0.001    0.000    0.272    0.002 collections.py:883(draw)
      165    0.005    0.000    0.263    0.002 collections.py:281(draw)
     1794    0.008    0.000    0.257    0.000 backend_pdf.py:1542(check_gc)
   127258    0.256    0.000    0.256    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1412    0.004    0.000    0.255    0.000 patches.py:216(get_transform)
     8985    0.028    0.000    0.247    0.000 transforms.py:1972(scale)
     7696    0.014    0.000    0.247    0.000 transforms.py:2471(composite_transform_factory)
     7342    0.007    0.000    0.246    0.000 transforms.py:1173(__add__)
       12    0.000    0.000    0.245    0.020 backend_pdf.py:544(close)
        1    0.000    0.000    0.242    0.242 pyplot.py:17(<module>)
     4579    0.039    0.000    0.241    0.000 font_manager.py:674(__init__)
   122412    0.064    0.000    0.240    0.000 distance.py:124(_copy_array_if_base_present)
      150    0.003    0.000    0.240    0.002 backend_pdf.py:1639(draw_path_collection)
      378    0.002    0.000    0.236    0.001 axis.py:1281(_copy_tick_props)
      150    0.004    0.000    0.234    0.002 backend_bases.py:276(draw_path_collection)
   254622    0.223    0.000    0.223    0.000 __init__.py:934(__getitem__)
193936/174278    0.143    0.000    0.219    0.000 artist.py:268(stale)
33323/26032    0.104    0.000    0.219    0.000 backend_pdf.py:137(pdfRepr)
     1195    0.001    0.000    0.218    0.000 patches.py:720(get_patch_transform)
       12    0.000    0.000    0.218    0.018 backend_pdf.py:630(writeFonts)
       12    0.001    0.000    0.217    0.018 backend_pdf.py:817(embedTTF)
     1195    0.012    0.000    0.217    0.000 patches.py:704(_update_patch_transform)
    61206    0.091    0.000    0.215    0.000 six.py:130(callable)
       12    0.003    0.000    0.215    0.018 backend_pdf.py:835(embedTTFType3)
     1225    0.035    0.000    0.213    0.000 text.py:329(_get_layout)
       84    0.001    0.000    0.213    0.003 axis.py:868(set_clip_path)
     6466    0.020    0.000    0.210    0.000 transforms.py:2290(__init__)
     1214    0.007    0.000    0.210    0.000 lines.py:1310(update_from)
       12    0.000    0.000    0.206    0.017 colorbar.py:1333(colorbar_factory)
       12    0.000    0.000    0.206    0.017 colorbar.py:898(__init__)
        6    0.001    0.000    0.199    0.033 plotSeries.py:127(<listcomp>)
      828    0.006    0.000    0.197    0.000 axis.py:381(_get_text1)
       12    0.000    0.000    0.196    0.016 pyplot.py:2861(contourf)
       12    0.000    0.000    0.196    0.016 _axes.py:5830(contourf)
      462    0.003    0.000    0.195    0.000 backend_pdf.py:1709(draw_markers)
    71402    0.110    0.000    0.194    0.000 shape_base.py:11(atleast_1d)
       12    0.000    0.000    0.189    0.016 colorbar.py:261(__init__)
    94610    0.186    0.000    0.186    0.000 {built-in method numpy.core.multiarray.zeros}
      336    0.001    0.000    0.186    0.001 axis.py:191(set_clip_path)
       12    0.000    0.000    0.185    0.015 colorbar.py:342(draw_all)
       12    0.000    0.000    0.184    0.015 pyplot.py:3795(legend)
       12    0.000    0.000    0.184    0.015 _axes.py:297(legend)
       12    0.002    0.000    0.184    0.015 contour.py:769(__init__)
       12    0.000    0.000    0.184    0.015 legend.py:453(draw)
      882    0.007    0.000    0.183    0.000 axis.py:516(_get_text1)
       12    0.001    0.000    0.183    0.015 legend.py:149(__init__)
       12    0.001    0.000    0.177    0.015 legend.py:583(_init_legend_box)
     6932    0.013    0.000    0.172    0.000 backend_pdf.py:589(<listcomp>)
    36794    0.081    0.000    0.171    0.000 weakref.py:242(values)
       12    0.000    0.000    0.168    0.014 colorbar.py:416(_config_axes)
441281/441279    0.143    0.000    0.163    0.000 {built-in method builtins.isinstance}
      104    0.001    0.000    0.161    0.002 pyplot.py:3304(plot)
  461/448    0.001    0.000    0.160    0.000 <frozen importlib._bootstrap>:553(module_from_spec)
     4152    0.019    0.000    0.160    0.000 transforms.py:781(__init__)
      104    0.001    0.000    0.159    0.002 _axes.py:1264(plot)
    11133    0.028    0.000    0.157    0.000 numeric.py:2365(identity)
    61263    0.046    0.000    0.156    0.000 atoms.py:350(get_cell)
       40    0.000    0.000    0.155    0.004 legend_handler.py:91(legend_artist)
       40    0.001    0.000    0.153    0.004 legend_handler.py:185(create_artists)
      425    0.008    0.000    0.151    0.000 backend_bases.py:246(draw_markers)
       12    0.000    0.000    0.150    0.012 colorbar.py:370(update_ticks)
     2308    0.041    0.000    0.149    0.000 lines.py:670(recache)
     3851    0.023    0.000    0.149    0.000 text.py:189(__init__)
      882    0.006    0.000    0.148    0.000 axis.py:531(_get_text2)
        1    0.000    0.000    0.147    0.147 __init__.py:106(<module>)
    66/60    0.000    0.000    0.146    0.002 <frozen importlib._bootstrap_external>:919(create_module)
    66/60    0.130    0.002    0.146    0.002 {built-in method _imp.create_dynamic}
    61206    0.096    0.000    0.145    0.000 distance.py:141(_filter_deprecated_kwargs)
    14569    0.034    0.000    0.145    0.000 transforms.py:163(set_children)
     1146    0.003    0.000    0.144    0.000 backend_pdf.py:1433(writePath)
    72490    0.061    0.000    0.143    0.000 atoms.py:653(get_positions)
    11641    0.091    0.000    0.140    0.000 artist.py:95(__init__)
    63099    0.061    0.000    0.137    0.000 {built-in method builtins.any}
       72    0.001    0.000    0.137    0.002 axis.py:1067(_get_tick_bboxes)
    20414    0.054    0.000    0.136    0.000 atoms.py:388(new_array)
      828    0.006    0.000    0.136    0.000 axis.py:398(_get_text2)
      414    0.005    0.000    0.135    0.000 text.py:932(get_window_extent)
    10740    0.034    0.000    0.135    0.000 artist.py:851(update)
        1    0.000    0.000    0.133    0.133 __init__.py:101(<module>)
       24    0.000    0.000    0.131    0.005 axis.py:1617(set_ticks)
    15050    0.013    0.000    0.131    0.000 backend_pdf.py:582(write)
       12    0.002    0.000    0.130    0.011 backend_pdf.py:879(<listcomp>)
    10207    0.022    0.000    0.129    0.000 atoms.py:285(set_cell)
