      Step     Time          Energy         fmax
BFGS:    0 13:53:20     -800.269255       37.5980
BFGS:    1 13:53:20     -809.500142       26.1300
BFGS:    2 13:53:21     -813.977806       24.3763
BFGS:    3 13:53:21     -818.562232       21.8634
BFGS:    4 13:53:22     -822.939436       16.2522
BFGS:    5 13:53:22     -826.411212       15.5930
BFGS:    6 13:53:23     -829.182199       12.8862
BFGS:    7 13:53:23     -831.492098       11.3991
BFGS:    8 13:53:23     -833.613114        9.8568
BFGS:    9 13:53:24     -835.477160        9.0512
BFGS:   10 13:53:24     -837.109405        8.2701
BFGS:   11 13:53:25     -838.532359        7.5555
BFGS:   12 13:53:25     -839.722990        6.8793
BFGS:   13 13:53:26     -840.768524        6.1976
BFGS:   14 13:53:26     -841.660022        5.6567
BFGS:   15 13:53:26     -842.473972        5.8404
BFGS:   16 13:53:27     -843.204599        5.8092
BFGS:   17 13:53:27     -843.901439        5.8401
BFGS:   18 13:53:28     -844.562550        5.7143
BFGS:   19 13:53:28     -845.215336        5.5289
BFGS:   20 13:53:28     -845.858706        5.2802
BFGS:   21 13:53:29     -846.502652        4.9670
BFGS:   22 13:53:29     -847.143621        4.6578
BFGS:   23 13:53:30     -847.780776        4.2993
BFGS:   24 13:53:30     -848.411689        3.9696
BFGS:   25 13:53:31     -849.031810        3.6033
BFGS:   26 13:53:31     -849.640148        3.2722
BFGS:   27 13:53:32     -850.229434        3.4157
BFGS:   28 13:53:32     -850.796369        3.4247
BFGS:   29 13:53:32     -851.327945        3.3828
BFGS:   30 13:53:33     -851.811238        3.1372
BFGS:   31 13:53:33     -852.232283        2.7750
BFGS:   32 13:53:34     -852.594038        2.3072
BFGS:   33 13:53:34     -852.903463        2.0322
BFGS:   34 13:53:35     -853.171194        1.8657
BFGS:   35 13:53:35     -853.404783        1.7100
BFGS:   36 13:53:36     -853.612863        1.7176
BFGS:   37 13:53:36     -853.802348        1.7448
BFGS:   38 13:53:36     -853.985800        1.7557
BFGS:   39 13:53:37     -854.219331        4.8044
BFGS:   40 13:53:37     -854.783230        8.5425
BFGS:   41 13:53:38     -855.432701        7.2751
BFGS:   42 13:53:38     -855.966659        5.6622
BFGS:   43 13:53:39     -856.410117        3.9719
BFGS:   44 13:53:39     -856.767127        2.3059
BFGS:   45 13:53:40     -857.027760        1.2985
BFGS:   46 13:53:40     -857.190681        0.9635
BFGS:   47 13:53:40     -857.269828        1.5034
BFGS:   48 13:53:41     -857.340314        1.7608
BFGS:   49 13:53:41     -857.417234        1.7729
BFGS:   50 13:53:42     -857.499213        1.7984
BFGS:   51 13:53:42     -857.580034        1.8476
BFGS:   52 13:53:42     -857.659524        1.8709
BFGS:   53 13:53:43     -857.736953        1.7928
BFGS:   54 13:53:43     -857.811815        1.5800
BFGS:   55 13:53:44     -857.878126        1.3948
BFGS:   56 13:53:44     -857.932519        1.3321
BFGS:   57 13:53:45     -857.966534        1.1396
BFGS:   58 13:53:45     -858.023694        0.9048
BFGS:   59 13:53:46     -858.052142        0.8292
BFGS:   60 13:53:46     -858.072211        0.7049
BFGS:   61 13:53:47     -858.088604        0.7165
BFGS:   62 13:53:47     -858.112885        0.7195
BFGS:   63 13:53:47     -858.126228        0.5868
BFGS:   64 13:53:48     -858.137295        0.4498
BFGS:   65 13:53:48     -858.144100        0.4940
BFGS:   66 13:53:49     -858.150341        0.3913
BFGS:   67 13:53:49     -858.157051        0.4079
BFGS:   68 13:53:50     -858.163144        0.3895
BFGS:   69 13:53:50     -858.167871        0.3713
BFGS:   70 13:53:51     -858.172414        0.3595
BFGS:   71 13:53:51     -858.177550        0.3179
BFGS:   72 13:53:51     -858.183727        0.2642
BFGS:   73 13:53:52     -858.189824        0.2053
BFGS:   74 13:53:52     -858.193876        0.1913
BFGS:   75 13:53:53     -858.195603        0.1194
BFGS:   76 13:53:53     -858.196411        0.0936
