      Step     Time          Energy         fmax
BFGS:    0 14:05:47     -697.305745      145.3518
BFGS:    1 14:05:47     -724.797705      116.1144
BFGS:    2 14:05:47     -741.747270      114.4330
BFGS:    3 14:05:47     -756.679764      106.1258
BFGS:    4 14:05:47     -769.280479      103.4744
BFGS:    5 14:05:47     -778.618616       90.9037
BFGS:    6 14:05:47     -787.228216       87.8415
BFGS:    7 14:05:47     -794.599604       82.3032
BFGS:    8 14:05:47     -802.155723       74.3857
BFGS:    9 14:05:47     -808.807386       70.6652
BFGS:   10 14:05:47     -813.711343       64.1862
BFGS:   11 14:05:47     -817.816447       61.4611
BFGS:   12 14:05:47     -821.354848       55.8339
BFGS:   13 14:05:48     -824.522018       52.7313
BFGS:   14 14:05:48     -827.355764       48.0575
BFGS:   15 14:05:48     -829.766958       44.2307
BFGS:   16 14:05:48     -832.151875       40.0965
BFGS:   17 14:05:48     -834.507755       35.4834
BFGS:   18 14:05:48     -836.461829       34.5512
BFGS:   19 14:05:48     -838.340062       35.5466
BFGS:   20 14:05:48     -840.171303       35.3979
BFGS:   21 14:05:48     -842.017699       33.2051
BFGS:   22 14:05:48     -843.784030       29.4503
BFGS:   23 14:05:48     -845.223918       25.4527
BFGS:   24 14:05:48     -846.491949       21.9751
BFGS:   25 14:05:48     -847.696785       18.6347
BFGS:   26 14:05:48     -848.830050       15.6532
BFGS:   27 14:05:48     -850.007013       12.8155
BFGS:   28 14:05:48     -851.302802       11.1734
BFGS:   29 14:05:48     -852.570119       11.2192
BFGS:   30 14:05:49     -853.779199       11.0352
BFGS:   31 14:05:49     -854.917107       10.4842
BFGS:   32 14:05:49     -856.020308        9.6721
BFGS:   33 14:05:49     -857.018377       11.1374
BFGS:   34 14:05:49     -857.878804       11.1485
BFGS:   35 14:05:49     -858.710083       10.5903
BFGS:   36 14:05:49     -859.497369        9.9365
BFGS:   37 14:05:49     -860.118333        8.7563
BFGS:   38 14:05:49     -860.800043        4.9873
BFGS:   39 14:05:49     -861.246325        4.0598
BFGS:   40 14:05:49     -861.504105        3.7931
BFGS:   41 14:05:49     -861.631882        2.0235
BFGS:   42 14:05:49     -861.688346        1.7874
BFGS:   43 14:05:49     -861.717639        1.5616
BFGS:   44 14:05:49     -861.730000        1.5676
BFGS:   45 14:05:49     -861.740247        0.9622
BFGS:   46 14:05:49     -861.746170        0.6806
BFGS:   47 14:05:49     -861.749897        0.3793
BFGS:   48 14:05:49     -861.751896        0.4535
BFGS:   49 14:05:49     -861.752833        0.4135
BFGS:   50 14:05:49     -861.753349        0.4005
BFGS:   51 14:05:50     -861.753728        0.3826
BFGS:   52 14:05:50     -861.754110        0.3471
BFGS:   53 14:05:50     -861.754425        0.3153
BFGS:   54 14:05:50     -861.754943        0.2595
BFGS:   55 14:05:50     -861.755426        0.1966
BFGS:   56 14:05:50     -861.755829        0.1609
BFGS:   57 14:05:50     -861.756035        0.1112
BFGS:   58 14:05:50     -861.756107        0.1185
BFGS:   59 14:05:50     -861.756137        0.1079
BFGS:   60 14:05:50     -861.756161        0.1083
BFGS:   61 14:05:50     -861.756184        0.1057
BFGS:   62 14:05:50     -861.756203        0.0973
