      Step     Time          Energy         fmax
BFGS:    0 10:14:42     -978.606608       52.0040
BFGS:    1 10:14:42     -990.311515       42.0348
BFGS:    2 10:14:42     -999.146444       41.5397
BFGS:    3 10:14:42    -1007.433395       34.8008
BFGS:    4 10:14:42    -1014.374361       35.0787
BFGS:    5 10:14:42    -1021.622595       31.6571
BFGS:    6 10:14:42    -1027.918389       27.6932
BFGS:    7 10:14:43    -1033.587552       27.1116
BFGS:    8 10:14:43    -1038.920217       24.4873
BFGS:    9 10:14:43    -1044.004249       21.5938
BFGS:   10 10:14:43    -1048.077745       20.2121
BFGS:   11 10:14:43    -1051.874474       18.8524
BFGS:   12 10:14:43    -1055.201015       17.4007
BFGS:   13 10:14:43    -1057.996570       16.2571
BFGS:   14 10:14:43    -1060.891024       15.4341
BFGS:   15 10:14:43    -1063.298250       14.2433
BFGS:   16 10:14:43    -1065.998363       13.3997
BFGS:   17 10:14:43    -1068.306068       12.5235
BFGS:   18 10:14:43    -1070.305945       11.5657
BFGS:   19 10:14:43    -1072.084729       10.9214
BFGS:   20 10:14:43    -1073.672827       10.0757
BFGS:   21 10:14:43    -1075.146632        9.4280
BFGS:   22 10:14:43    -1076.496257        8.7395
BFGS:   23 10:14:43    -1077.792827        8.2124
BFGS:   24 10:14:44    -1078.985115        7.8812
BFGS:   25 10:14:44    -1080.011456        7.5238
BFGS:   26 10:14:44    -1080.907157        7.1162
BFGS:   27 10:14:44    -1081.711173        6.6861
BFGS:   28 10:14:44    -1082.438291        6.2168
BFGS:   29 10:14:44    -1083.107956        5.7307
BFGS:   30 10:14:44    -1083.723471        5.2225
BFGS:   31 10:14:44    -1084.295339        4.7130
BFGS:   32 10:14:44    -1084.821541        4.2002
BFGS:   33 10:14:44    -1085.307071        3.6971
BFGS:   34 10:14:44    -1085.748960        3.2022
BFGS:   35 10:14:44    -1086.149838        2.7327
BFGS:   36 10:14:44    -1086.508691        2.3655
BFGS:   37 10:14:44    -1086.828057        2.0050
BFGS:   38 10:14:44    -1087.109493        1.7831
BFGS:   39 10:14:44    -1087.357245        1.6210
BFGS:   40 10:14:44    -1087.576217        1.4499
BFGS:   41 10:14:45    -1087.774993        1.4068
BFGS:   42 10:14:45    -1087.959722        2.0408
BFGS:   43 10:14:45    -1088.129733        2.7529
BFGS:   44 10:14:45    -1088.296823        3.4809
BFGS:   45 10:14:45    -1088.465071        4.1326
BFGS:   46 10:14:45    -1088.632675        4.6400
BFGS:   47 10:14:45    -1088.796914        4.9639
BFGS:   48 10:14:45    -1088.955615        5.0921
BFGS:   49 10:14:45    -1089.108354        5.0333
BFGS:   50 10:14:45    -1089.257502        4.8114
BFGS:   51 10:14:45    -1089.408115        4.4580
BFGS:   52 10:14:45    -1089.566545        3.9830
BFGS:   53 10:14:45    -1089.735196        3.4056
BFGS:   54 10:14:45    -1089.915237        2.7481
BFGS:   55 10:14:45    -1090.109235        2.0148
BFGS:   56 10:14:45    -1090.261966        1.5034
BFGS:   57 10:14:46    -1090.379074        1.2894
BFGS:   58 10:14:46    -1090.480918        1.1636
BFGS:   59 10:14:46    -1090.576008        1.1231
BFGS:   60 10:14:46    -1090.664438        0.9945
BFGS:   61 10:14:46    -1090.729260        0.7557
BFGS:   62 10:14:46    -1090.783141        0.9062
BFGS:   63 10:14:46    -1090.843961        0.8958
BFGS:   64 10:14:46    -1090.902068        1.2045
BFGS:   65 10:14:46    -1090.961382        1.3825
BFGS:   66 10:14:46    -1091.022793        1.4902
BFGS:   67 10:14:46    -1091.086581        1.5442
BFGS:   68 10:14:46    -1091.155165        1.5673
BFGS:   69 10:14:46    -1091.226318        1.5436
BFGS:   70 10:14:46    -1091.299651        1.5342
BFGS:   71 10:14:46    -1091.374979        1.5218
BFGS:   72 10:14:46    -1091.449176        1.5235
BFGS:   73 10:14:46    -1091.525179        1.4828
BFGS:   74 10:14:46    -1091.598342        1.4432
BFGS:   75 10:14:47    -1091.674615        1.3496
BFGS:   76 10:14:47    -1091.745185        1.3236
BFGS:   77 10:14:47    -1091.820872        1.3455
BFGS:   78 10:14:47    -1091.886057        1.2582
BFGS:   79 10:14:47    -1091.957290        1.1497
BFGS:   80 10:14:47    -1092.010309        0.9474
BFGS:   81 10:14:47    -1092.065118        0.7593
BFGS:   82 10:14:47    -1092.094338        0.6448
BFGS:   83 10:14:47    -1092.111417        0.6410
BFGS:   84 10:14:47    -1092.124919        0.3473
BFGS:   85 10:14:47    -1092.137005        0.3209
BFGS:   86 10:14:47    -1092.140967        0.2886
BFGS:   87 10:14:47    -1092.145257        0.2249
BFGS:   88 10:14:47    -1092.152376        0.1646
BFGS:   89 10:14:47    -1092.156358        0.1885
BFGS:   90 10:14:47    -1092.159346        0.1966
BFGS:   91 10:14:47    -1092.160979        0.1756
BFGS:   92 10:14:47    -1092.161867        0.1148
BFGS:   93 10:14:47    -1092.162255        0.0695
