         82330516 function calls (76560663 primitive calls) in 439.952 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    376/1    0.016    0.000  439.952  439.952 {built-in method builtins.exec}
        1    0.000    0.000  439.952  439.952 globalOptim_ase3d.py:1(<module>)
        1    0.006    0.006  417.036  417.036 globalOptim_ase3d.py:375(runOptimizer)
      105    0.006    0.000  396.959    3.781 globalOptim_ase3d.py:18(relax_VarianceBreak)
      119    0.154    0.001  394.914    3.319 optimize.py:162(run)
   162699    0.512    0.000  369.110    0.002 calculator.py:471(get_property)
      100    0.002    0.000  340.060    3.401 globalOptim_ase3d.py:494(relaxML)
    27307    0.229    0.000  284.530    0.010 custom_calculators.py:19(calculate)
    29513    0.622    0.000  209.981    0.007 atoms.py:722(get_forces)
    29513    0.042    0.000  205.058    0.007 calculator.py:452(get_forces)
    27307  174.829    0.006  180.818    0.007 krr_ase.py:68(predict_force)
    15903    0.197    0.000  153.899    0.010 atoms.py:666(get_potential_energy)
    15903    0.026    0.000  153.362    0.010 calculator.py:440(get_potential_energy)
    14598    0.289    0.000  149.359    0.010 optimize.py:193(log)
    29807   66.143    0.002   69.390    0.002 krr_ase.py:39(predict_energy)
        5    0.015    0.003   60.177   12.035 globalOptim_ase3d.py:509(relaxTrue)
     1032    0.032    0.000   56.987    0.055 calculator.py:635(calculate)
     1032    0.019    0.000   53.382    0.052 subprocess.py:259(call)
     2064    0.018    0.000   51.724    0.025 subprocess.py:1414(wait)
     1032    0.003    0.000   51.700    0.050 subprocess.py:1401(_try_wait)
     1032   51.697    0.050   51.697    0.050 {built-in method posix.waitpid}
    30684    0.432    0.000   38.111    0.001 atoms.py:798(copy)
5219470/46822   14.325    0.000   35.497    0.001 copy.py:132(deepcopy)
    28339    0.177    0.000   35.404    0.001 calculator.py:515(calculate)
    30722    0.713    0.000   35.055    0.001 copy.py:210(_deepcopy_list)
    14598    0.103    0.000   28.027    0.002 optimize.py:96(call_observers)
    77114    1.364    0.000   27.041    0.000 calculator.py:417(check_state)
   736272    4.008    0.000   25.389    0.000 copy.py:268(_reconstruct)
   471385    1.438    0.000   23.922    0.000 calculator.py:66(equal)
   443/14    0.004    0.000   22.860    1.633 <frozen importlib._bootstrap>:966(_find_and_load)
   442/13    0.003    0.000   22.860    1.758 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
   408/15    0.004    0.000   22.592    1.506 <frozen importlib._bootstrap>:651(_load_unlocked)
   335/13    0.002    0.000   22.428    1.725 <frozen importlib._bootstrap_external>:672(exec_module)
   570/17    0.001    0.000   22.224    1.307 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   308052    0.975    0.000   21.434    0.000 numeric.py:2397(allclose)
    14965    0.114    0.000   20.630    0.001 trajectory.py:109(write)
    14965    0.572    0.000   20.505    0.001 trajectory.py:125(_write_atoms)
   308052    1.875    0.000   18.347    0.000 numeric.py:2463(isclose)
    14481    0.412    0.000   16.493    0.001 bfgs.py:62(step)
       18    0.001    0.000   14.247    0.792 __init__.py:1(<module>)
   376/38    0.001    0.000   13.825    0.364 {built-in method builtins.__import__}
   752372    2.703    0.000   13.209    0.000 copy.py:236(_deepcopy_dict)
      335    0.005    0.000   11.905    0.036 <frozen importlib._bootstrap_external>:743(get_code)
      335   11.820    0.035   11.825    0.035 <frozen importlib._bootstrap_external>:830(get_data)
   308052    3.581    0.000   10.945    0.000 numeric.py:2522(within_tol)
    14481   10.558    0.001   10.936    0.001 linalg.py:1147(eigh)
8420/7645    0.014    0.000    9.296    0.001 <frozen importlib._bootstrap>:997(_handle_fromlist)
      430    0.006    0.000    8.229    0.019 <frozen importlib._bootstrap>:870(_find_spec)
