      Step     Time          Energy         fmax
BFGS:    0 18:31:19     -545.297567        7.1852
BFGS:    1 18:31:22     -547.194912        9.5784
BFGS:    2 18:31:26     -549.544779       12.3831
BFGS:    3 18:31:29     -552.231849       14.3579
BFGS:    4 18:31:33     -554.838797       14.1378
BFGS:    5 18:31:36     -557.257931       12.4368
BFGS:    6 18:31:40     -559.300628       11.4703
BFGS:    7 18:31:44     -560.776821       10.1615
BFGS:    8 18:31:47     -562.147839        8.8364
BFGS:    9 18:31:50     -563.455058        7.6197
BFGS:   10 18:31:53     -564.703019        6.1095
BFGS:   11 18:31:57     -565.849311        5.8366
BFGS:   12 18:32:00     -566.873181        5.9991
BFGS:   13 18:32:03     -567.775419        5.7496
BFGS:   14 18:32:06     -568.562702        5.3397
BFGS:   15 18:32:10     -569.345015        6.2060
BFGS:   16 18:32:13     -570.131279        6.0880
BFGS:   17 18:32:16     -570.963178        7.7225
BFGS:   18 18:32:20     -571.681407        7.9465
BFGS:   19 18:32:23     -572.558264        8.7504
BFGS:   20 18:32:26     -573.499017        9.1594
BFGS:   21 18:32:30     -574.875698       10.4115
BFGS:   22 18:32:33     -576.099810       11.1598
BFGS:   23 18:32:37     -577.431097       11.1204
BFGS:   24 18:32:40     -578.570562       11.7238
BFGS:   25 18:32:44     -579.804186       12.1906
BFGS:   26 18:32:47     -581.026442       12.1970
BFGS:   27 18:32:51     -582.162372       11.6371
BFGS:   28 18:32:54     -583.184947        9.6361
BFGS:   29 18:32:58     -584.175044        7.4791
BFGS:   30 18:33:01     -584.875429        5.3914
BFGS:   31 18:33:05     -585.612604        3.2545
BFGS:   32 18:33:08     -585.318109        2.7035
BFGS:   33 18:33:12     -585.544478        1.5793
BFGS:   34 18:33:16     -585.027191        1.6110
BFGS:   35 18:33:20     -584.690482        1.2480
BFGS:   36 18:33:24     -584.614589        0.9651
BFGS:   37 18:33:28     -584.454352        1.1870
BFGS:   38 18:33:31     -584.694608        0.8490
BFGS:   39 18:33:35     -584.961807        0.7844
BFGS:   40 18:33:39     -585.095543        0.5916
BFGS:   41 18:33:42     -585.202575        1.1025
BFGS:   42 18:33:46     -585.305381        0.6839
BFGS:   43 18:33:50     -585.382433        0.7375
BFGS:   44 18:33:54     -585.324598        0.5420
BFGS:   45 18:33:57     -585.327336        0.2389
BFGS:   46 18:34:01     -585.323889        0.2538
BFGS:   47 18:34:05     -585.320239        0.2345
BFGS:   48 18:34:09     -585.310779        0.1734
BFGS:   49 18:34:12     -585.294273        0.1274
BFGS:   50 18:34:16     -585.280899        0.1021
BFGS:   51 18:34:20     -585.268589        0.0994
