      Step     Time          Energy         fmax
BFGS:    0 20:29:00      -76.340885        6.1089
BFGS:    1 20:29:18      -77.670526        5.0407
BFGS:    2 20:29:34      -78.625295        4.8438
BFGS:    3 20:29:51      -79.305662        4.4710
BFGS:    4 20:30:06      -79.853093        5.0145
BFGS:    5 20:30:20      -80.287785        5.4057
BFGS:    6 20:30:34      -80.681022        5.7812
BFGS:    7 20:30:48      -81.064152        6.1092
BFGS:    8 20:31:02      -81.446993        6.4243
BFGS:    9 20:31:16      -81.831231        6.6985
BFGS:   10 20:31:30      -82.218576        6.8990
BFGS:   11 20:31:45      -82.612349        7.4337
BFGS:   12 20:31:59      -83.008606        8.3765
BFGS:   13 20:32:14      -83.408150        9.2655
BFGS:   14 20:32:31      -83.811250       10.0864
BFGS:   15 20:32:46      -84.218192       10.6810
BFGS:   16 20:33:01      -84.627971       11.1881
BFGS:   17 20:33:15      -85.033008       11.2078
BFGS:   18 20:33:30      -85.399685       11.2082
BFGS:   19 20:33:45      -85.715121       10.4109
BFGS:   20 20:33:59      -85.983234       10.0190
BFGS:   21 20:34:13      -86.210311        8.2711
BFGS:   22 20:34:29      -86.391246        7.8641
BFGS:   23 20:34:44      -86.551930        6.7282
BFGS:   24 20:34:59      -86.710918        6.1252
BFGS:   25 20:35:14      -86.875343        5.7083
BFGS:   26 20:35:29      -87.047243        5.4393
BFGS:   27 20:35:43      -87.243859        5.0785
BFGS:   28 20:35:58      -87.478441        4.7672
BFGS:   29 20:36:15      -87.659864        4.4217
BFGS:   30 20:36:29      -87.763648        3.8324
BFGS:   31 20:36:43      -87.905521        3.0378
BFGS:   32 20:36:57      -88.014043        2.1719
BFGS:   33 20:37:14      -88.088768        1.4286
BFGS:   34 20:37:28      -88.136890        0.8072
BFGS:   35 20:37:42      -88.166832        0.5735
BFGS:   36 20:37:56      -88.197299        0.5608
BFGS:   37 20:38:11      -88.225755        0.4831
BFGS:   38 20:38:22      -88.238135        0.4723
BFGS:   39 20:38:33      -88.252142        0.5463
BFGS:   40 20:38:47      -88.265057        0.8039
BFGS:   41 20:38:58      -88.278550        0.8313
BFGS:   42 20:39:11      -88.295071        0.7000
BFGS:   43 20:39:27      -88.306292        0.4963
BFGS:   44 20:39:39      -88.313608        0.3780
BFGS:   45 20:39:50      -88.318657        0.4925
BFGS:   46 20:39:59      -88.320739        0.5217
BFGS:   47 20:40:08      -88.322949        0.6932
BFGS:   48 20:40:17      -88.324950        0.7496
BFGS:   49 20:40:27      -88.327603        0.8184
BFGS:   50 20:40:38      -88.331009        0.8281
BFGS:   51 20:40:50      -88.333339        0.7454
BFGS:   52 20:40:58      -88.335627        0.6354
BFGS:   53 20:41:09      -88.338948        0.5716
BFGS:   54 20:41:23      -88.344795        0.3906
BFGS:   55 20:41:36      -88.353414        0.3703
BFGS:   56 20:41:50      -88.359735        0.3605
BFGS:   57 20:42:02      -88.369984        0.4093
BFGS:   58 20:42:17      -88.376187        0.3537
BFGS:   59 20:42:30      -88.381017        0.1843
BFGS:   60 20:42:45      -88.383476        0.2110
BFGS:   61 20:42:57      -88.384686        0.2239
BFGS:   62 20:43:05      -88.386018        0.2048
BFGS:   63 20:43:15      -88.387331        0.1346
BFGS:   64 20:43:25      -88.389265        0.1352
BFGS:   65 20:43:38      -88.392771        0.2622
BFGS:   66 20:43:47      -88.395397        0.1549
BFGS:   67 20:44:00      -88.401226        0.2259
BFGS:   68 20:44:10      -88.404379        0.2706
BFGS:   69 20:44:21      -88.408802        0.2602
BFGS:   70 20:44:33      -88.413309        0.2697
BFGS:   71 20:44:45      -88.421990        0.4067
BFGS:   72 20:45:02      -88.428615        0.3734
BFGS:   73 20:45:12      -88.434787        0.3504
BFGS:   74 20:45:25      -88.443141        0.3380
BFGS:   75 20:45:36      -88.448602        0.3379
BFGS:   76 20:45:46      -88.451621        0.4086
BFGS:   77 20:45:58      -88.457465        0.3166
BFGS:   78 20:46:09      -88.462174        0.3113
BFGS:   79 20:46:22      -88.466147        0.2076
BFGS:   80 20:46:30      -88.467359        0.2100
BFGS:   81 20:46:45      -88.468480        0.2799
BFGS:   82 20:46:54      -88.469086        0.1542
BFGS:   83 20:47:06      -88.468179        0.2133
BFGS:   84 20:47:17      -88.469409        0.0703
