      Step     Time          Energy         fmax
BFGS:    0 17:47:51     -990.824778       53.2856
BFGS:    1 17:47:51    -1001.798357       57.0522
BFGS:    2 17:47:51    -1014.376984       53.4717
BFGS:    3 17:47:51    -1025.055498       44.1503
BFGS:    4 17:47:51    -1031.568556       32.2588
BFGS:    5 17:47:51    -1035.614679       17.4719
BFGS:    6 17:47:51    -1037.750871        9.5653
BFGS:    7 17:47:51    -1039.219330       11.1920
BFGS:    8 17:47:51    -1040.470847       12.9627
BFGS:    9 17:47:51    -1041.497877       10.8144
BFGS:   10 17:47:51    -1042.260235        8.9298
BFGS:   11 17:47:51    -1043.014009        8.0319
BFGS:   12 17:47:51    -1043.844057        7.7835
BFGS:   13 17:47:51    -1044.728396        7.4609
BFGS:   14 17:47:51    -1045.666428        8.5253
BFGS:   15 17:47:51    -1046.625442        9.0511
BFGS:   16 17:47:52    -1047.600571       10.1179
BFGS:   17 17:47:52    -1048.613544        9.9099
BFGS:   18 17:47:52    -1049.443670       10.1242
BFGS:   19 17:47:52    -1050.145518       11.4222
BFGS:   20 17:47:52    -1050.755172       11.0373
BFGS:   21 17:47:52    -1051.333833        9.5350
BFGS:   22 17:47:52    -1051.901056        8.8971
BFGS:   23 17:47:52    -1052.436140        9.5489
BFGS:   24 17:47:52    -1052.855857        9.2653
BFGS:   25 17:47:52    -1053.251523        9.4228
BFGS:   26 17:47:52    -1053.658564        8.0443
BFGS:   27 17:47:52    -1054.057476        7.7170
BFGS:   28 17:47:52    -1054.444455        6.6730
BFGS:   29 17:47:52    -1054.839578        5.8180
BFGS:   30 17:47:52    -1055.304273        6.0980
BFGS:   31 17:47:52    -1055.823266        6.0443
BFGS:   32 17:47:52    -1056.332811        5.8889
BFGS:   33 17:47:52    -1056.806873        5.6544
BFGS:   34 17:47:53    -1057.210118        5.3777
BFGS:   35 17:47:53    -1057.538803        4.9825
BFGS:   36 17:47:53    -1057.826938        4.5102
BFGS:   37 17:47:53    -1058.097895        4.1800
BFGS:   38 17:47:53    -1058.367520        4.1194
