      Step     Time          Energy         fmax
BFGS:    0 20:39:25     -955.370940       68.1475
BFGS:    1 20:39:25     -969.319827       53.1641
BFGS:    2 20:39:25     -980.227720       53.7852
BFGS:    3 20:39:25     -989.742368       44.9063
BFGS:    4 20:39:25     -999.220677       40.6449
BFGS:    5 20:39:25    -1006.060687       36.8185
BFGS:    6 20:39:25    -1012.254113       34.0796
BFGS:    7 20:39:25    -1018.324885       30.3565
BFGS:    8 20:39:25    -1023.246546       27.2707
BFGS:    9 20:39:25    -1027.312086       25.1292
BFGS:   10 20:39:25    -1031.508951       22.3789
BFGS:   11 20:39:25    -1035.197127       20.5552
BFGS:   12 20:39:25    -1038.995858       20.7519
BFGS:   13 20:39:25    -1042.385332       19.3547
BFGS:   14 20:39:25    -1045.566931       18.0358
BFGS:   15 20:39:25    -1048.705648       16.9098
BFGS:   16 20:39:25    -1051.319458       15.8458
BFGS:   17 20:39:25    -1053.624142       15.0383
BFGS:   18 20:39:25    -1055.823059       14.0058
BFGS:   19 20:39:25    -1057.834178       13.3728
BFGS:   20 20:39:25    -1059.595461       13.3974
BFGS:   21 20:39:25    -1061.252052       13.9268
BFGS:   22 20:39:25    -1062.831002       14.0153
BFGS:   23 20:39:25    -1064.362910       13.6022
BFGS:   24 20:39:25    -1065.882561       12.6657
BFGS:   25 20:39:25    -1067.415814       11.5784
BFGS:   26 20:39:25    -1068.971844       10.1862
BFGS:   27 20:39:25    -1070.549203        9.0337
BFGS:   28 20:39:25    -1072.133924        8.2923
BFGS:   29 20:39:25    -1073.617830        7.8797
BFGS:   30 20:39:25    -1075.016314        7.5053
BFGS:   31 20:39:25    -1076.421645        7.2517
BFGS:   32 20:39:25    -1077.547025        7.1551
BFGS:   33 20:39:25    -1078.484295        7.5373
BFGS:   34 20:39:25    -1079.306065        8.0438
BFGS:   35 20:39:25    -1080.072076        8.4768
BFGS:   36 20:39:25    -1080.808196        8.8411
BFGS:   37 20:39:26    -1081.532483        9.0279
BFGS:   38 20:39:26    -1082.252517        9.0511
BFGS:   39 20:39:26    -1082.977534        8.8583
BFGS:   40 20:39:26    -1083.710584        8.4972
BFGS:   41 20:39:26    -1084.454984        7.9446
BFGS:   42 20:39:26    -1085.208430        7.2574
BFGS:   43 20:39:26    -1085.945387        6.4452
BFGS:   44 20:39:26    -1086.612988        5.6369
BFGS:   45 20:39:26    -1087.230085        5.1841
BFGS:   46 20:39:26    -1087.807641        5.0800
BFGS:   47 20:39:26    -1088.361522        5.0131
BFGS:   48 20:39:26    -1088.895968        4.7831
BFGS:   49 20:39:26    -1089.419548        4.5996
BFGS:   50 20:39:26    -1089.895577        4.2635
BFGS:   51 20:39:26    -1090.320909        4.0483
BFGS:   52 20:39:26    -1090.711870        4.2052
BFGS:   53 20:39:26    -1091.072923        4.1514
BFGS:   54 20:39:26    -1091.409862        3.9201
BFGS:   55 20:39:26    -1091.719934        3.5483
BFGS:   56 20:39:26    -1092.007597        3.7822
BFGS:   57 20:39:26    -1092.281461        3.7853
BFGS:   58 20:39:26    -1092.552681        3.4287
BFGS:   59 20:39:26    -1092.783661        2.7971
BFGS:   60 20:39:26    -1092.986519        2.4290
BFGS:   61 20:39:26    -1093.147693        2.0548
BFGS:   62 20:39:26    -1093.241135        1.8777
BFGS:   63 20:39:26    -1093.306133        1.2936
BFGS:   64 20:39:26    -1093.348153        1.1163
BFGS:   65 20:39:26    -1093.379558        0.8986
BFGS:   66 20:39:26    -1093.409688        1.0635
BFGS:   67 20:39:26    -1093.431633        1.0332
BFGS:   68 20:39:26    -1093.448931        0.8943
BFGS:   69 20:39:26    -1093.465751        0.7977
BFGS:   70 20:39:26    -1093.484863        0.8078
BFGS:   71 20:39:26    -1093.507419        0.9361
BFGS:   72 20:39:26    -1093.533063        0.9888
BFGS:   73 20:39:26    -1093.557111        0.9582
BFGS:   74 20:39:26    -1093.578733        0.8552
BFGS:   75 20:39:26    -1093.596771        0.7408
BFGS:   76 20:39:26    -1093.610514        0.5490
