      Step     Time          Energy         fmax
BFGS:    0 20:42:39     -717.614338      285.6673
BFGS:    1 20:42:39     -773.230613      227.2303
BFGS:    2 20:42:39     -791.707654      214.4799
BFGS:    3 20:42:39     -805.157868      199.7903
BFGS:    4 20:42:39     -822.981460      165.6050
BFGS:    5 20:42:39     -840.618183      153.7489
BFGS:    6 20:42:39     -856.670061      137.0260
BFGS:    7 20:42:40     -870.200586      124.2794
BFGS:    8 20:42:40     -884.858469      112.0450
BFGS:    9 20:42:40     -898.342866      102.5530
BFGS:   10 20:42:40     -910.760696       94.8407
BFGS:   11 20:42:40     -921.183105       92.3000
BFGS:   12 20:42:40     -931.905742       81.8778
BFGS:   13 20:42:40     -940.105012       80.1025
BFGS:   14 20:42:40     -947.762344       74.0676
BFGS:   15 20:42:40     -956.822568       70.4118
BFGS:   16 20:42:40     -963.448153       65.6207
BFGS:   17 20:42:40     -970.091914       62.8868
BFGS:   18 20:42:40     -974.790030       59.2778
BFGS:   19 20:42:40     -979.879838       56.7560
BFGS:   20 20:42:40     -984.136562       54.1399
BFGS:   21 20:42:40     -988.364777       51.7244
BFGS:   22 20:42:40     -992.716874       48.8252
BFGS:   23 20:42:40     -996.689924       46.2488
BFGS:   24 20:42:40    -1000.039616       44.3336
BFGS:   25 20:42:40    -1003.200677       42.9549
BFGS:   26 20:42:40    -1006.120626       41.5114
BFGS:   27 20:42:40    -1009.207360       40.4409
BFGS:   28 20:42:40    -1012.518695       38.7089
BFGS:   29 20:42:40    -1015.982087       38.0186
BFGS:   30 20:42:40    -1019.577871       38.7518
BFGS:   31 20:42:40    -1023.268558       39.9595
BFGS:   32 20:42:41    -1026.799260       39.4087
BFGS:   33 20:42:41    -1030.254332       37.6496
BFGS:   34 20:42:41    -1033.579956       36.9379
BFGS:   35 20:42:41    -1036.616580       35.9815
BFGS:   36 20:42:41    -1039.472739       34.7693
BFGS:   37 20:42:41    -1042.058234       33.1780
BFGS:   38 20:42:41    -1044.433896       31.5626
BFGS:   39 20:42:41    -1047.120617       29.8619
BFGS:   40 20:42:41    -1049.849314       27.9144
BFGS:   41 20:42:41    -1052.742933       25.5426
BFGS:   42 20:42:41    -1055.737242       23.7900
BFGS:   43 20:42:41    -1058.512272       21.9558
BFGS:   44 20:42:41    -1060.953284       20.5051
BFGS:   45 20:42:41    -1062.751588       18.1083
BFGS:   46 20:42:41    -1064.329754       16.7262
BFGS:   47 20:42:41    -1065.776196       15.4599
BFGS:   48 20:42:41    -1067.218431       14.0397
BFGS:   49 20:42:41    -1068.737056       13.1325
BFGS:   50 20:42:41    -1070.274627       13.2348
BFGS:   51 20:42:41    -1071.858427       13.1197
BFGS:   52 20:42:41    -1073.418654       12.2774
BFGS:   53 20:42:41    -1074.947554       11.5567
BFGS:   54 20:42:41    -1076.372739       11.7366
BFGS:   55 20:42:41    -1077.677858       11.5688
BFGS:   56 20:42:41    -1078.829202       11.2896
BFGS:   57 20:42:41    -1079.890360       10.4993
BFGS:   58 20:42:41    -1080.797134        9.9670
BFGS:   59 20:42:41    -1081.643897        9.2607
BFGS:   60 20:42:42    -1082.312714        8.7498
BFGS:   61 20:42:42    -1082.912152        8.0478
BFGS:   62 20:42:42    -1083.510549        6.9562
BFGS:   63 20:42:42    -1084.030403        5.6229
BFGS:   64 20:42:42    -1084.450158        4.7327
BFGS:   65 20:42:42    -1084.722827        3.1689
BFGS:   66 20:42:42    -1084.914036        2.9682
BFGS:   67 20:42:42    -1085.062916        2.5476
BFGS:   68 20:42:42    -1085.182565        2.6809
BFGS:   69 20:42:42    -1085.298390        2.4673
BFGS:   70 20:42:42    -1085.400634        2.5158
BFGS:   71 20:42:42    -1085.492837        2.6637
BFGS:   72 20:42:42    -1085.583790        2.7585
BFGS:   73 20:42:42    -1085.661211        2.3225
BFGS:   74 20:42:42    -1085.733241        1.4395
BFGS:   75 20:42:42    -1085.784692        1.8141
BFGS:   76 20:42:42    -1085.834614        1.8567
BFGS:   77 20:42:42    -1085.927683        2.7726
BFGS:   78 20:42:42    -1086.028631        3.7885
BFGS:   79 20:42:42    -1086.124643        4.4808
BFGS:   80 20:42:42    -1086.234772        4.3588
BFGS:   81 20:42:42    -1086.444950        2.8646
BFGS:   82 20:42:42    -1086.726962        3.6236
BFGS:   83 20:42:42    -1086.928913        4.4153
BFGS:   84 20:42:42    -1087.104724        4.5662
BFGS:   85 20:42:42    -1087.255253        4.7019
BFGS:   86 20:42:42    -1087.425015        3.8906
BFGS:   87 20:42:42    -1087.582330        2.9545
BFGS:   88 20:42:42    -1087.712680        2.9405
BFGS:   89 20:42:42    -1087.801273        2.7789
BFGS:   90 20:42:42    -1087.867560        2.7226
BFGS:   91 20:42:42    -1087.926824        2.3737
BFGS:   92 20:42:43    -1087.962186        2.1185
BFGS:   93 20:42:43    -1087.993274        1.8531
BFGS:   94 20:42:43    -1088.033237        1.6970
BFGS:   95 20:42:43    -1088.055881        1.7902
BFGS:   96 20:42:43    -1088.072138        1.5656
BFGS:   97 20:42:43    -1088.089262        1.2632
BFGS:   98 20:42:43    -1088.102240        1.2809
BFGS:   99 20:42:43    -1088.112394        1.2774
BFGS:  100 20:42:43    -1088.127945        0.9696
BFGS:  101 20:42:43    -1088.137969        0.7068
BFGS:  102 20:42:43    -1088.143169        0.6041
BFGS:  103 20:42:43    -1088.146000        0.5559
BFGS:  104 20:42:43    -1088.147994        0.3724
BFGS:  105 20:42:43    -1088.148871        0.2653
BFGS:  106 20:42:43    -1088.149546        0.2427
BFGS:  107 20:42:43    -1088.150012        0.1935
BFGS:  108 20:42:43    -1088.150644        0.2469
BFGS:  109 20:42:43    -1088.151216        0.2183
BFGS:  110 20:42:43    -1088.151697        0.2200
BFGS:  111 20:42:43    -1088.152049        0.1995
BFGS:  112 20:42:43    -1088.152344        0.2056
BFGS:  113 20:42:43    -1088.152601        0.1976
BFGS:  114 20:42:43    -1088.152801        0.1641
BFGS:  115 20:42:43    -1088.152984        0.1238
BFGS:  116 20:42:43    -1088.153179        0.0903
